Time Domain,,,Frequency Domain
N,Amplitude,,Freq,M,theta
0,0,,0,5.43871e-14,0
1,0.0246374,,128,127.746,-1.55852
2,0.0492599,,256,0.671072,-1.54625
3,0.0738525,,384,0.376907,-1.53398
4,0.0984003,,512,0.267947,-1.52171
5,0.122888,,640,0.20934,-1.50944
6,0.147302,,768,0.172286,-1.49717
7,0.171626,,896,0.146602,-1.48489
8,0.195845,,1024,0.127697,-1.47262
9,0.219946,,1152,0.113177,-1.46035
10,0.243914,,1280,0.101664,-1.44808
11,0.267733,,1408,0.0923076,-1.43581
12,0.29139,,1536,0.0845508,-1.42353
13,0.31487,,1664,0.0780146,-1.41126
14,0.338158,,1792,0.0724315,-1.39899
15,0.361242,,1920,0.067607,-1.38672
16,0.384106,,2048,0.0633965,-1.37445
17,0.406737,,2176,0.0596899,-1.36217
18,0.429121,,2304,0.0564022,-1.3499
19,0.451244,,2432,0.0534664,-1.33763
20,0.473094,,2560,0.0508291,-1.32536
21,0.494656,,2688,0.0484474,-1.31309
22,0.515918,,2816,0.046286,-1.30082
23,0.536867,,2944,0.044316,-1.28854
24,0.557489,,3072,0.0425133,-1.27627
25,0.577774,,3200,0.0408577,-1.264
26,0.597707,,3328,0.0393321,-1.25173
27,0.617278,,3456,0.037922,-1.23946
28,0.636474,,3584,0.036615,-1.22718
29,0.655284,,3712,0.0354004,-1.21491
30,0.673696,,3840,0.0342688,-1.20264
31,0.691698,,3968,0.0332123,-1.19037
32,0.709281,,4096,0.0322238,-1.1781
33,0.726434,,4224,0.031297,-1.16583
34,0.743145,,4352,0.0304266,-1.15355
35,0.759405,,4480,0.0296077,-1.14128
36,0.775204,,4608,0.028836,-1.12901
37,0.790532,,4736,0.0281076,-1.11674
38,0.805381,,4864,0.0274192,-1.10447
39,0.81974,,4992,0.0267677,-1.09219
40,0.833602,,5120,0.0261503,-1.07992
41,0.846958,,5248,0.0255645,-1.06765
42,0.8598,,5376,0.0250081,-1.05538
43,0.87212,,5504,0.024479,-1.04311
44,0.88391,,5632,0.0239754,-1.03084
45,0.895163,,5760,0.0234955,-1.01856
46,0.905873,,5888,0.023038,-1.00629
47,0.916034,,6016,0.0226012,-0.99402
48,0.925638,,6144,0.022184,-0.981748
49,0.93468,,6272,0.0217852,-0.969476
50,0.943154,,6400,0.0214036,-0.957204
51,0.951057,,6528,0.0210383,-0.944932
52,0.958381,,6656,0.0206883,-0.93266
53,0.965124,,6784,0.0203528,-0.920388
54,0.971281,,6912,0.0200309,-0.908117
55,0.976848,,7040,0.0197221,-0.895845
56,0.981823,,7168,0.0194254,-0.883573
57,0.986201,,7296,0.0191405,-0.871301
58,0.98998,,7424,0.0188665,-0.859029
59,0.993159,,7552,0.0186031,-0.846757
60,0.995734,,7680,0.0183496,-0.834486
61,0.997705,,7808,0.0181057,-0.822214
62,0.99907,,7936,0.0178708,-0.809942
63,0.999829,,8064,0.0176446,-0.79767
64,0.999981,,8192,0.0174266,-0.785398
65,0.999526,,8320,0.0172165,-0.773126
66,0.998464,,8448,0.0170139,-0.760854
67,0.996795,,8576,0.0168186,-0.748583
68,0.994522,,8704,0.0166302,-0.736311
69,0.991645,,8832,0.0164483,-0.724039
70,0.988165,,8960,0.0162729,-0.711767
71,0.984086,,9088,0.0161036,-0.699495
72,0.97941,,9216,0.0159401,-0.687223
73,0.974139,,9344,0.0157823,-0.674952
74,0.968276,,9472,0.0156298,-0.66268
75,0.961826,,9600,0.0154827,-0.650408
76,0.954791,,9728,0.0153405,-0.638136
77,0.947177,,9856,0.0152032,-0.625864
78,0.938988,,9984,0.0150706,-0.613592
79,0.930229,,10112,0.0149426,-0.60132
80,0.920906,,10240,0.0148189,-0.589049
81,0.911023,,10368,0.0146994,-0.576777
82,0.900587,,10496,0.014584,-0.564505
83,0.889604,,10624,0.0144726,-0.552233
84,0.878081,,10752,0.014365,-0.539961
85,0.866025,,10880,0.0142611,-0.527689
86,0.853444,,11008,0.0141609,-0.515418
87,0.840344,,11136,0.0140641,-0.503146
88,0.826734,,11264,0.0139708,-0.490874
89,0.812622,,11392,0.0138807,-0.478602
90,0.798017,,11520,0.0137939,-0.46633
91,0.782928,,11648,0.0137102,-0.454058
92,0.767363,,11776,0.0136296,-0.441786
93,0.751332,,11904,0.0135519,-0.429515
94,0.734845,,12032,0.0134772,-0.417243
95,0.717912,,12160,0.0134052,-0.404971
96,0.700543,,12288,0.0133361,-0.392699
97,0.682749,,12416,0.0132696,-0.380427
98,0.66454,,12544,0.0132058,-0.368155
99,0.645928,,12672,0.0131445,-0.355884
100,0.626924,,12800,0.0130858,-0.343612
101,0.607539,,12928,0.0130295,-0.33134
102,0.587785,,13056,0.0129757,-0.319068
103,0.567675,,13184,0.0129243,-0.306796
104,0.54722,,13312,0.0128752,-0.294524
105,0.526432,,13440,0.0128284,-0.282252
106,0.505325,,13568,0.0127838,-0.269981
107,0.483911,,13696,0.0127415,-0.257709
108,0.462204,,13824,0.0127014,-0.245437
109,0.440216,,13952,0.0126634,-0.233165
110,0.41796,,14080,0.0126275,-0.220893
111,0.395451,,14208,0.0125937,-0.208621
112,0.372702,,14336,0.012562,-0.19635
113,0.349727,,14464,0.0125324,-0.184078
114,0.326539,,14592,0.0125048,-0.171806
115,0.303153,,14720,0.0124791,-0.159534
116,0.279583,,14848,0.0124554,-0.147262
117,0.255843,,14976,0.0124337,-0.13499
118,0.231948,,15104,0.012414,-0.122718
119,0.207912,,15232,0.0123961,-0.110447
120,0.18375,,15360,0.0123802,-0.0981748
121,0.159476,,15488,0.0123662,-0.0859029
122,0.135105,,15616,0.0123541,-0.0736311
123,0.110653,,15744,0.0123438,-0.0613592
124,0.0861329,,15872,0.0123355,-0.0490874
125,0.0615609,,16000,0.012329,-0.0368155
126,0.0369515,,16128,0.0123243,-0.0245437
127,0.0123197,,16256,0.0123215,-0.0122718
128,-0.0123197
129,-0.0369515
130,-0.0615609
131,-0.0861329
132,-0.110653
133,-0.135105
134,-0.159476
135,-0.18375
136,-0.207912
137,-0.231948
138,-0.255843
139,-0.279583
140,-0.303153
141,-0.326539
142,-0.349727
143,-0.372702
144,-0.395451
145,-0.41796
146,-0.440216
147,-0.462204
148,-0.483911
149,-0.505325
150,-0.526432
151,-0.54722
152,-0.567675
153,-0.587785
154,-0.607539
155,-0.626924
156,-0.645928
157,-0.66454
158,-0.682749
159,-0.700543
160,-0.717912
161,-0.734845
162,-0.751332
163,-0.767363
164,-0.782928
165,-0.798017
166,-0.812622
167,-0.826734
168,-0.840344
169,-0.853444
170,-0.866025
171,-0.878081
172,-0.889604
173,-0.900587
174,-0.911023
175,-0.920906
176,-0.930229
177,-0.938988
178,-0.947177
179,-0.954791
180,-0.961826
181,-0.968276
182,-0.974139
183,-0.97941
184,-0.984086
185,-0.988165
186,-0.991645
187,-0.994522
188,-0.996795
189,-0.998464
190,-0.999526
191,-0.999981
192,-0.999829
193,-0.99907
194,-0.997705
195,-0.995734
196,-0.993159
197,-0.98998
198,-0.986201
199,-0.981823
200,-0.976848
201,-0.971281
202,-0.965124
203,-0.958381
204,-0.951057
205,-0.943154
206,-0.93468
207,-0.925638
208,-0.916034
209,-0.905873
210,-0.895163
211,-0.88391
212,-0.87212
213,-0.8598
214,-0.846958
215,-0.833602
216,-0.81974
217,-0.805381
218,-0.790532
219,-0.775204
220,-0.759405
221,-0.743145
222,-0.726434
223,-0.709281
224,-0.691698
225,-0.673696
226,-0.655284
227,-0.636474
228,-0.617278
229,-0.597707
230,-0.577774
231,-0.557489
232,-0.536867
233,-0.515918
234,-0.494656
235,-0.473094
236,-0.451244
237,-0.429121
238,-0.406737
239,-0.384106
240,-0.361242
241,-0.338158
242,-0.31487
243,-0.29139
244,-0.267733
245,-0.243914
246,-0.219946
247,-0.195845
248,-0.171626
249,-0.147302
250,-0.122888
251,-0.0984003
252,-0.0738525
253,-0.0492599
254,-0.0246374
